Date,Open,Close,High,Low,Adj_close,Volume
2000-10-06,8779,8500,9070,8429,1460,1210700
2000-10-09,8019,8000,8390,8000,1374,750800
2000-10-10,8149,8810,8999,8010,1513,1988400
2000-10-11,8810,8589,9250,8209,1475,1667000
2000-10-12,8640,9100,9380,8510,1563,3967000
2000-10-13,8999,8800,8999,8539,1511,1412600
2000-10-17,9560,8900,9849,8900,1529,2222700
2000-10-18,9140,8599,9150,8500,1477,1114400
2000-10-19,8599,8589,8900,8520,1475,1181400
2000-10-20,8800,8810,8889,8609,1513,821900
2000-10-23,8920,8769,9279,8690,1506,1542400
2000-10-24,8989,9399,9799,8819,1614,3148100
2000-10-25,9540,9130,9600,9030,1568,1400800
2000-10-26,9200,8709,9500,8560,1496,1261200
2000-10-30,8120,7519,8300,7509,1291,954200
2000-10-31,7370,7509,7789,6529,1290,750800
2000-11-01,7559,7760,8180,7500,1333,1104100
2000-11-02,7700,8000,8500,7700,1374,1492900
2000-11-03,8300,7950,8300,7830,1365,817800
2000-11-06,7979,8000,8149,7900,1374,511300
2000-11-07,8100,8170,8390,8060,1403,1288000
2000-11-08,8120,7849,8139,7760,1348,546900
2000-11-09,7969,7799,8029,7720,1340,551500
2000-11-10,7830,7870,7950,7799,1352,526800
2000-11-13,8000,7730,8000,7720,1328,405300
2000-11-14,7679,7849,7919,7619,1348,332100
2000-11-15,7940,7830,8000,7830,1345,355800
2000-11-16,7760,7749,7900,7730,1331,232200
2000-11-17,7849,7830,7880,7749,1345,309000
2000-11-20,7760,7700,7909,7600,1322,279100
2000-11-21,7519,7760,8079,7519,1333,750800
2000-11-22,7900,8249,8839,7809,1417,2760400
2000-11-23,8029,7650,8149,7650,1314,671500
2000-11-24,7650,7799,7840,7600,1340,361500
2000-11-27,7820,7849,8089,7820,1348,392400
2000-11-28,8000,7799,8180,7749,1340,576800
2000-11-29,7650,7430,7700,7430,1276,492300
2000-11-30,7700,7420,7700,7119,1274,310000
2000-12-01,7250,7279,7300,6999,1250,192600
2000-12-04,7300,7109,7389,7109,1221,189500
2000-12-05,7200,7150,7260,7030,1228,309000
2000-12-06,7339,7150,7380,7150,1228,292000
2000-12-07,7150,7140,7190,7030,1226,139500
2000-12-08,7140,7399,7540,7140,1271,509300
2000-12-11,7500,7540,7650,7420,1295,419200
2000-12-12,7440,7660,7870,7370,1316,515500
2000-12-13,7760,7900,8189,7500,1357,1312700
2000-12-14,8000,7930,8390,7900,1362,1010900
2000-12-15,7950,7600,7979,7600,1305,494900
2000-12-18,7500,8000,8100,7420,1374,884700
2000-12-19,8000,7770,8570,7610,1334,1664400
2000-12-20,7950,7260,7950,7260,1247,570100
2000-12-21,6999,7020,7210,6819,1206,375900
2000-12-22,6999,6500,7169,6300,1116,428900
2000-12-26,6309,6359,6630,6309,1092,316700
2001-01-02,6800,6920,6989,6529,1188,362000
2001-01-03,6800,6929,7150,6790,1190,476800
2001-01-04,7250,7119,7270,7020,1223,510300
2001-01-05,7049,7010,7100,6939,1204,434600
2001-01-08,7210,7279,7500,7049,1250,710100
2001-01-09,7330,7279,7449,7140,1250,522200
2001-01-10,7380,7010,7540,6999,1204,785300
2001-01-11,7090,7049,7130,6989,1211,359400
2001-01-12,7200,7200,7289,7130,1236,538600
2001-01-15,7250,7289,7500,7200,1252,780200
2001-01-16,7320,7270,7449,7100,1249,645200
2001-01-17,7349,7770,8290,7349,1334,3494200
2001-01-18,7770,7380,7770,7380,1267,868200
2001-01-19,7679,7579,7969,7409,1302,1214800
2001-01-22,7650,7700,7739,7530,1322,488700
2001-01-26,8170,7640,8170,7629,1312,618500
2001-01-29,7700,7600,7749,7509,1305,327500
2001-01-30,7650,8740,8740,7550,1501,3778000
2001-01-31,8900,8249,9239,8149,1417,4217300
2001-02-01,8360,8400,8999,8249,1443,2092400
2001-02-02,8350,8199,8599,8110,1408,788400
2001-02-05,8029,7799,8390,7799,1340,914100
2001-02-06,7900,7919,8170,7830,1360,678700
2001-02-07,8019,7799,8060,7799,1340,366100
2001-02-08,7760,8050,8149,7760,1383,613300
2001-02-09,8149,8290,8350,8019,1424,901200
2001-02-12,8599,8589,9100,8350,1475,1561900
2001-02-13,8889,8500,8889,8300,1460,783800
2001-02-14,8400,8379,8500,8300,1439,422300
2001-02-15,8309,8300,8530,8249,1425,479400
2001-02-16,8209,8180,8400,8070,1405,585000
2001-02-19,8300,8850,9250,8120,1520,3374700
2001-02-20,8989,8829,9349,8649,1517,2049100
2001-02-21,9200,8599,9200,8549,1477,968200
2001-02-22,8599,8640,8860,8350,1484,791000
2001-02-23,8500,8719,9070,8500,1498,863100
2001-02-26,8810,8800,8900,8630,1511,624100
2001-02-27,8850,8609,9090,8609,1479,996000
2001-02-28,8500,8549,8599,8450,1468,278600
2001-03-02,8649,8170,8730,8079,1403,439200
2001-03-05,8479,8390,8719,8330,1441,1119000
2001-03-06,8460,8630,8649,8209,1482,845600
2001-03-07,8649,8419,8649,8419,1446,409900
2001-03-08,8500,8360,8549,8319,1436,365100
2001-03-09,8450,8280,8500,8280,1422,391400
2001-03-12,8300,7979,8300,7950,1370,547400
2001-03-13,7500,7409,7689,7349,1273,338800
2001-03-15,7210,7420,7500,7200,1274,454700
2001-03-16,7420,7399,7519,7349,1271,235800
2001-03-19,7349,7270,7389,7210,1249,253800
2001-03-20,7559,7430,7770,7310,1276,441800
2001-03-21,7430,7409,7550,7300,1273,323400
2001-03-22,7430,7370,7500,7349,1266,218800
2001-03-23,7320,7360,7530,7320,1264,257500
2001-03-26,7490,7569,7590,7399,1300,339300
2001-03-27,7670,7500,7760,7449,1288,345500
2001-03-28,7550,7399,7600,7399,1271,350700
2001-03-29,7300,7140,7300,7130,1263,201500
2001-03-30,7110,7050,7220,6900,1247,198000
2001-04-02,7120,7000,7200,6880,1238,185000
2001-04-03,6900,6700,7000,6670,1185,220500
2001-04-04,6680,6610,6790,6500,1169,143500
2001-04-06,6800,6640,6900,6620,1175,170500
2001-04-09,6700,6590,6740,6510,1166,211500
2001-04-10,6720,6550,6760,6550,1159,129500
2001-04-11,6610,6900,7190,6600,1221,1011500
2001-04-12,6890,6850,6930,6800,1212,265000
2001-04-13,6900,6970,7070,6860,1233,285000
2001-04-16,6860,7070,7200,6860,1251,453000
2001-04-17,7070,7030,7190,6900,1244,263500
2001-04-18,7110,7140,7150,7060,1263,427000
2001-04-19,7240,7190,7270,7140,1272,448000
2001-04-20,7190,7050,7270,7040,1247,280500
2001-04-23,7100,7060,7160,6960,1249,245000
2001-04-24,7100,7070,7380,7030,1251,1252500
2001-04-25,7010,7050,7150,7000,1247,365500
2001-04-26,7010,7050,7150,7000,1247,365500
2001-04-27,7150,7040,7150,7000,1245,133500
2001-04-30,7040,7130,7180,7020,1261,488000
2001-05-02,7250,7400,7700,7140,1309,1485500
2001-05-03,7470,7420,7470,7210,1313,330000
2001-05-04,7410,7370,7480,7300,1304,270500
2001-05-07,7340,7500,7650,7340,1327,433000
2001-05-08,7500,7500,7600,7430,1327,302500
2001-05-09,7600,7330,7670,7330,1297,324000
2001-05-10,7210,7390,7460,7210,1307,247000
2001-05-11,7470,7360,7470,7310,1302,152000
2001-05-14,7360,7470,7500,7360,1321,195000
2001-05-15,7600,7570,7600,7470,1339,423500
2001-05-16,7650,7520,7820,7520,1330,786500
2001-05-17,8100,7850,8200,7740,1389,1204500
2001-05-18,7750,7960,8040,7700,1408,632500
2001-05-21,8350,8250,8350,8050,1459,667500
2001-05-22,8350,8460,8680,8100,1497,1799000
2001-05-23,8400,8170,8430,8110,1445,592000
2001-05-24,8170,8020,8170,7900,1419,747000
2001-05-25,8020,8060,8140,7960,1426,385000
2001-05-28,8220,8700,9260,8090,1539,4659500
2001-05-29,8750,8400,8800,8390,1486,1254000
2001-05-30,8510,8380,8560,8350,1482,591500
2001-05-31,8350,9630,9630,8350,1704,5790000
2001-06-01,9830,11050,11050,9750,1955,7784500
2001-06-04,11200,11050,11500,10600,1955,5303500
2001-06-05,11400,11150,11500,10600,1973,4707500
2001-06-07,11400,11200,11550,11050,1981,3509000
2001-06-08,10950,11550,11750,10300,2043,3330000
2001-06-11,11450,11500,11900,11350,2035,3432000
2001-06-12,11600,11850,11900,11350,2096,2828000
2001-06-13,12000,11800,12100,11700,2088,2016000
2001-06-14,11900,12050,12050,11300,2132,9297500
2001-06-15,12200,11650,12250,11350,2061,4280500
2001-06-18,11700,11650,11800,11300,2061,2186000
2001-06-19,11850,11450,12000,11200,2026,3080500
2001-06-20,11450,10950,11550,10800,1937,1317500
2001-06-21,10800,11900,12550,10350,2105,5284000
2001-06-22,11600,11750,11850,11600,2079,1014500
2001-06-25,11450,11400,11700,11350,2017,1025000
2001-06-26,11400,11250,11400,11200,1990,772500
2001-06-27,11400,11250,11600,11000,1990,1722500
2001-06-28,11300,11050,11350,10800,1955,1020000
2001-06-29,11050,11150,11200,10550,1973,1829500
2001-07-02,11250,11550,11600,11150,2043,1901000
2001-07-03,11550,11250,11600,11250,1990,952500
2001-07-04,11150,11400,11400,11150,2017,755500
2001-07-05,11400,11550,11850,11200,2043,1913500
2001-07-06,11600,10300,12200,10200,1822,8080000
2001-07-09,11700,11800,11800,11000,2088,10435500
2001-07-10,11900,11050,12450,11050,1955,6557000
2001-07-11,10500,9750,10600,9710,1725,2927500
2001-07-12,9800,9800,10100,9710,1734,1816000
2001-07-13,9800,9200,9890,9130,1628,1522500
2001-07-16,8950,8850,9160,8670,1566,1585500
2001-07-18,9050,8500,9150,8500,1504,1268000
2001-07-19,8370,8200,8620,8200,1451,977500
2001-07-20,8210,7840,8340,7840,1387,895000
2001-07-23,7710,7250,7890,7180,1282,1073000
2001-07-24,7350,7550,7940,7310,1336,2094000
2001-07-25,7310,7350,7600,7260,1300,816000
2001-07-26,7510,7500,7720,7450,1327,665000
2001-07-27,7780,7800,8100,7660,1380,1419000
2001-07-30,7900,8010,8500,7620,1417,2164000
2001-07-31,8050,8050,8190,7920,1424,794500
2001-08-01,8150,8250,8480,8140,1459,1417500
2001-08-02,8250,8130,8250,8120,1438,616500
2001-08-03,8200,8100,8340,8000,1433,553000
2001-08-06,8050,8100,8180,8000,1433,527500
2001-08-07,8000,8000,8140,7860,1415,483500
2001-08-08,8080,8080,8150,7970,1429,474000
2001-08-09,8050,7840,8050,7820,1387,441000
2001-08-10,7920,7860,8040,7850,1390,466500
2001-08-13,7900,7980,8050,7900,1412,350000
2001-08-14,7980,8050,8050,7910,1424,749500
2001-08-16,8090,8190,8360,8060,1449,1351500
2001-08-17,8190,8250,8500,8070,1459,1335000
2001-08-20,8210,8050,8230,8050,1424,478500
2001-08-21,8060,8030,8150,7980,1420,502000
2001-08-22,8000,8060,8120,7980,1426,528000
2001-08-23,8100,8300,8700,8100,1468,3405000
2001-08-24,8500,9000,9400,8450,1592,7060500
2001-08-27,9290,9000,9290,8810,1592,2374000
2001-08-28,9200,8900,9200,8670,1574,1363500
2001-08-29,8710,8010,8850,7900,1417,1499500
2001-08-30,7800,7950,7960,7570,1406,808500
2001-08-31,7600,7500,7800,7500,1327,830000
2001-09-03,7410,7400,7630,7320,1309,530500
2001-09-04,7420,7580,7600,7420,1341,441000
2001-09-05,7610,7680,8030,7600,1359,1027500
2001-09-06,7760,7750,7850,7700,1371,391500
2001-09-07,7710,7880,7970,7620,1394,730500
2001-09-10,7790,7750,7940,7720,1371,360000
2001-09-11,7820,7650,7920,7650,1353,593500
2001-09-12,6510,6510,6780,6510,1151,1198000
2001-09-13,6800,6920,6960,6650,1224,1608000
2001-09-14,6920,6450,6920,6240,1141,960000
2001-09-17,6450,5840,6600,5840,1033,539000
2001-09-18,6650,6630,6710,6300,1173,965000
2001-09-19,6630,6640,7060,6550,1175,558000
2001-09-20,6640,6530,6640,6340,1155,430500
2001-09-21,6490,6440,6490,6220,1139,245500
2001-09-25,6800,6500,6800,6400,1150,488000
2001-09-26,6700,6730,6770,6560,1190,561000
2001-09-27,6850,6770,6950,6680,1198,357500
2001-10-04,7200,7390,7400,7000,1307,728500
2001-10-05,7270,7200,7350,7120,1274,303000
2001-10-08,7050,7010,7130,6950,1240,291000
2001-10-09,7130,7150,7380,7050,1265,545000
2001-10-10,7010,7110,7300,7010,1258,427000
2001-10-11,7250,7190,7350,7130,1272,543500
2001-10-12,7250,7130,7280,7050,1261,441500
2001-10-15,7300,7550,7760,7240,1336,2068500
2001-10-16,7450,7350,7490,7300,1300,858500
2001-10-17,7480,7400,7480,7320,1309,515500
2001-10-18,7500,7180,7580,7160,1270,739000
2001-10-19,7280,7300,7400,7210,1291,344000
2001-10-22,7200,7350,7350,7200,1300,277500
2001-10-23,7400,7250,7420,7250,1282,377500
2001-10-24,7250,7270,7400,7250,1286,304500
2001-10-25,7310,7250,7330,7240,1282,271500
2001-10-26,7270,7250,7310,7200,1282,306000
2001-10-29,7210,7300,7370,7210,1291,308500
2001-10-30,7300,7090,7300,7050,1254,238000
2001-10-31,7010,7090,7170,6990,1254,325000
2001-11-01,7200,7570,7570,7200,1339,1656000
2001-11-02,7800,8250,8420,7800,1459,3821500
2001-11-05,8380,8130,8570,8130,1438,1224000
2001-11-06,8300,9190,9200,8300,1626,3233000
2001-11-07,9100,8860,9500,8800,1567,1925000
2001-11-08,9000,8570,9050,8570,1516,1123500
2001-11-12,8210,8550,8580,8210,1512,645000
2001-11-13,8550,8350,8550,8300,1477,481000
2001-11-14,8370,8700,8740,8300,1539,1778500
2001-11-15,8800,9130,9600,8700,1615,3216500
2001-11-16,9200,8950,9380,8950,1583,1193000
2001-11-19,9100,9200,9200,8900,1628,926500
2001-11-20,9400,9900,10100,9330,1751,3373000
2001-11-21,9840,10000,10300,9780,1769,1588500
2001-11-22,10500,10250,10600,10200,1813,1018500
2001-11-23,10050,10600,10650,10050,1875,795000
2001-11-26,10800,10500,11000,10250,1858,972500
2001-11-27,10800,10350,10800,10350,1831,721500
2001-11-28,10100,9600,10200,9400,1698,708500
2001-11-29,9600,9600,9730,9300,1698,353000
2001-11-30,9700,9700,9790,9560,1716,739000
2001-12-03,9820,10200,10300,9820,1804,709000
2001-12-04,10300,9920,10300,9920,1755,386500
2001-12-05,9950,10250,10500,9950,1813,815000
2001-12-06,10250,9920,10450,9910,1755,732500
2001-12-07,9980,10000,10350,9900,1769,665000
2001-12-10,10000,9950,10500,9540,1760,426000
2001-12-11,9730,9450,9940,9420,1672,657500
2001-12-12,9400,9400,9550,9160,1663,459500
2001-12-13,9300,9210,9400,9150,1629,840000
2001-12-14,9100,9150,9370,9050,1619,598000
2001-12-17,9200,8780,9260,8780,1553,457000
2001-12-18,8550,8710,8960,8550,1541,391500
2001-12-19,8900,8460,8900,8430,1497,268500
2001-12-20,8400,8530,8750,8350,1509,253000
2001-12-21,8600,9000,9190,8560,1592,590000
2001-12-24,8830,8730,8920,8730,1544,131500
2001-12-26,8800,8870,8990,8800,1569,230500
2001-12-27,8870,9010,9090,8820,1594,222500
2001-12-28,9090,9190,9200,8950,1626,225500
2002-01-02,9210,9310,9500,9120,1647,321500
2002-01-04,9110,9070,9290,9050,1605,396500
2002-01-07,9010,9000,9190,8980,1592,366000
2002-01-08,9100,9150,9290,9100,1619,427500
2002-01-09,9210,9000,9300,8950,1592,404500
2002-01-10,9100,8930,9100,8930,1580,384500
2002-01-11,9100,9660,9890,9010,1709,2789000
2002-01-14,9710,9400,10450,9230,1663,3103500
2002-01-15,9620,9180,9710,9180,1624,1200000
2002-01-16,9180,8960,9260,8960,1585,695500
2002-01-17,8960,8800,9000,8670,1557,808000
2002-01-18,8860,8900,9100,8800,1574,956500
2002-01-21,8950,9080,9200,8900,1606,930500
2002-01-22,9190,9070,9230,9010,1605,486500
2002-01-23,9220,9300,9450,9120,1645,1096500
2002-01-24,9470,9230,9470,9210,1633,778000
2002-01-25,9330,9410,9680,9200,1665,1094500
2002-01-28,9600,9650,9650,9360,1707,858500
2002-01-29,9650,9450,9650,9450,1672,427000
2002-01-30,9360,9060,9390,9030,1603,563000
2002-02-01,9760,9600,10200,9510,1698,1917500
2002-02-04,9600,9500,9750,9400,1681,772000
2002-02-05,9510,9810,9920,9420,1735,1401500
2002-02-06,9810,9900,10150,9810,1751,982000
2002-02-07,9950,9410,9950,9410,1665,610000
2002-02-08,9490,9430,9490,9280,1668,480500
2002-02-14,9600,9670,9800,9460,1711,586000
2002-02-15,9650,9550,9740,9540,1689,404500
2002-02-18,9780,9710,9990,9710,1718,920000
2002-02-19,9780,9680,9780,9610,1712,463000
2002-02-20,9610,9650,9880,9610,1707,466500
2002-02-21,9650,9940,9970,9650,1758,583000
2002-02-22,9930,10150,10700,9860,1796,2458000
2002-02-25,10500,10250,10550,10050,1813,1036000
2002-02-26,10350,10400,10700,10100,1840,1067500
2002-02-27,10500,10400,10800,10400,1840,1019500
2002-02-28,10450,10200,10500,10100,1804,757000
2002-03-04,10500,10100,10500,10100,1787,691000
2002-03-05,10100,9950,10200,9870,1760,962500
2002-03-06,9910,10000,10150,9910,1769,647000
2002-03-07,10200,9920,10200,9910,1755,439000
2002-03-08,9990,9750,10000,9640,1725,746500
2002-03-11,9750,9700,9800,9600,1716,571500
2002-03-12,9650,9780,9860,9650,1730,453500
2002-03-13,9700,9950,10150,9700,1760,1242000
2002-03-14,10000,9900,10150,9850,1751,624000
2002-03-15,9900,10300,10350,9900,1822,1230000
2002-03-18,10450,10400,10500,10250,1840,861000
2002-03-19,10550,10300,10700,10300,1822,801000
2002-03-20,10400,10450,10700,10300,1849,1013000
2002-03-21,10600,10650,11150,10550,1884,1835500
2002-03-22,10800,10700,11000,10600,1893,814500
2002-03-25,10900,10700,11050,10550,1893,752500
2002-03-26,10700,11200,11300,10600,1981,1981000
2002-03-27,11200,10900,11300,10850,1928,1028500
2002-03-28,10700,10350,10850,10300,1831,1119500
2002-03-29,10400,9950,10500,9910,1760,548500
2002-04-01,10000,9560,10100,9560,1691,687000
2002-04-02,9410,9540,9650,9300,1688,489000
2002-04-03,9600,9560,9680,9500,1691,434000
2002-04-04,9550,9500,9650,9470,1681,378500
2002-04-08,9450,9430,9600,9420,1668,483000
2002-04-09,9450,9250,9550,9250,1636,447500
2002-04-10,9250,8900,9260,8890,1574,503500
2002-04-11,9000,9110,9290,9000,1612,310000
2002-04-12,9100,9200,9200,9010,1628,155000
2002-04-15,9310,9260,9360,9220,1638,253500
2002-04-16,9270,9290,9370,9200,1643,290000
2002-04-17,9300,9350,9460,9300,1654,377500
2002-04-18,9290,9250,9350,9210,1636,247000
2002-04-19,9250,9040,9300,9040,1599,264500
2002-04-22,9040,8810,9050,8800,1558,382500
2002-04-23,8810,8610,8820,8600,1523,204500
2002-04-24,8520,8630,8850,8520,1527,191000
2002-04-25,8500,8250,8500,8080,1459,291000
2002-04-26,8100,8300,8300,8100,1468,200000
2002-04-29,8050,8000,8200,7980,1415,142500
2002-04-30,7900,8000,8110,7900,1415,111000
2002-05-02,8250,8150,8250,8030,1442,102500
2002-05-03,8020,8050,8200,7990,1424,107000
2002-05-06,8000,8020,8140,7970,1419,51500
2002-05-07,7920,8300,8650,7890,1468,637500
2002-05-08,8230,8310,8380,8100,1470,194000
2002-05-09,8390,8370,8630,8300,1481,246500
2002-05-10,8440,8290,8500,8210,1466,77500
2002-05-13,8110,8250,8340,8110,1459,92500
2002-05-14,8280,8360,8360,8260,1479,119500
2002-05-15,8450,8410,8700,8370,1488,284500
2002-05-16,8500,8630,8700,8500,1527,172500
2002-05-17,8590,8480,8680,8450,1500,152500
2002-05-20,8500,8400,8520,8400,1486,150500
2002-05-21,8370,8120,8370,8120,1436,209500
2002-05-22,8100,8150,8190,8050,1442,95500
2002-05-23,8150,8060,8220,8060,1426,159500
2002-05-24,8320,8200,8410,8200,1451,137000
2002-05-27,8200,8010,8220,8010,1417,126500
2002-05-28,8040,8010,8100,7970,1417,113000
2002-05-29,8010,7870,8010,7800,1392,199000
2002-05-30,7850,7960,7990,7800,1408,160000
2002-05-31,7970,7960,8090,7850,1408,97000
2002-06-03,7780,7960,7960,7520,1408,101000
2002-06-04,7960,7960,7960,7700,1408,72000
2002-06-05,8010,7980,8010,7870,1412,66500
2002-06-07,7940,7950,7950,7740,1406,63000
2002-06-10,7850,7900,8000,7850,1397,69500
2002-06-11,8050,7950,8050,7900,1406,41500
2002-06-12,7950,7950,7990,7900,1406,84000
2002-06-14,8050,7950,8050,7930,1406,56500
2002-06-17,7970,8070,8200,7900,1428,140500
2002-06-18,8150,8080,8240,8080,1429,86500
2002-06-19,8100,7950,8150,7710,1406,146500
2002-06-20,7950,7800,7950,7780,1380,66500
2002-06-21,7660,7790,7820,7660,1378,65500
2002-06-24,7790,7720,7790,7520,1366,93000
2002-06-25,7720,7500,7800,7500,1327,100000
2002-06-26,7340,6860,7360,6860,1213,176500
2002-06-27,7010,6880,7070,6850,1217,113000
2002-06-28,7030,7250,7250,7000,1282,217000
2002-07-02,7250,7160,7250,7000,1267,460000
2002-07-03,7200,7300,7350,7130,1291,146500
2002-07-04,7300,7400,7400,7250,1309,109500
2002-07-05,7400,7440,7500,7360,1316,129500
2002-07-08,7540,7310,7550,7250,1293,117500
2002-07-09,7200,7450,7480,7200,1318,137500
2002-07-10,7300,7440,7450,7270,1316,141500
2002-07-11,7230,7210,7390,7200,1275,172500
2002-07-12,7220,7400,7430,7220,1309,93500
2002-07-15,7510,7250,7510,7250,1282,145000
2002-07-16,7400,7250,7400,7160,1282,117500
2002-07-18,7230,7200,7320,7150,1274,77000
2002-07-19,7190,7150,7190,7030,1265,139000
2002-07-22,7000,6950,7000,6850,1229,183500
2002-07-23,6820,7000,7060,6820,1238,116000
2002-07-24,6860,6870,6950,6850,1215,108500
2002-07-25,7010,7000,7080,6970,1238,96000
2002-07-26,7010,6890,7200,6820,1219,148000
2002-07-29,7000,7050,7200,6950,1247,104500
2002-07-30,7050,7050,7390,7050,1247,161500
2002-07-31,7110,7450,7690,7080,1318,291000
2002-08-01,7500,7130,7500,7130,1261,97000
2002-08-02,7110,7000,7110,6900,1238,119500
2002-08-05,7000,6850,7000,6820,1212,121500
2002-08-06,6850,6950,6990,6800,1229,116500
2002-08-07,7010,6990,7130,6990,1236,115500
2002-08-08,7010,7010,7200,7010,1240,129500
2002-08-09,7100,7340,7400,7070,1298,230500
2002-08-12,7340,7200,7340,7200,1274,57500
2002-08-13,7260,7240,7320,7200,1281,127500
2002-08-14,7160,7370,7370,7160,1304,92500
2002-08-16,7400,7150,7470,7150,1265,123500
2002-08-19,7150,7020,7240,7020,1242,176000
2002-08-20,7150,7350,7560,7120,1300,281500
2002-08-21,7350,7220,7420,7190,1277,219000
2002-08-22,7390,7350,7390,7230,1300,131500
2002-08-26,7320,7430,7480,7260,1314,203500
2002-08-27,7500,7420,7620,7410,1313,198000
2002-08-28,7430,7350,7520,7350,1300,132500
2002-08-29,7340,7270,7380,7240,1286,200500
2002-08-30,7310,7430,7490,7280,1314,207500
2002-09-02,7580,7440,7580,7380,1316,123500
2002-09-03,7500,7330,7500,7320,1297,157000
2002-09-04,7250,7190,7250,7120,1272,226500
2002-09-05,7220,7310,7330,7200,1293,155500
2002-09-06,7410,7690,8200,7380,1360,1256000
2002-09-09,7900,7200,7910,7160,1274,369000
2002-09-10,7230,7290,7340,7160,1290,247500
2002-09-11,7300,7430,7620,7300,1314,352500
2002-09-12,7400,7410,7640,7400,1311,260500
2002-09-13,7420,7190,7420,7180,1272,209000
2002-09-16,7250,7390,7490,7250,1307,220000
2002-09-17,7390,7700,7800,7350,1362,558500
2002-09-18,7690,7520,7820,7500,1330,505500
2002-09-19,7720,8200,8640,7650,1451,3880500
2002-09-23,8100,7790,8400,7770,1378,878500
2002-09-24,7780,7400,7790,7400,1309,754000
2002-09-25,7400,7210,7510,7130,1275,488500
2002-09-26,7230,7120,7400,7100,1259,484500
2002-09-27,7020,7090,7210,7020,1254,227000
2002-09-30,7000,6920,7070,6910,1224,284000
2002-10-01,6920,7000,7050,6900,1238,113000
2002-10-02,7120,6950,7230,6950,1229,260500
2002-10-04,6900,7000,7120,6900,1238,93000
2002-10-07,7000,6870,7000,6820,1215,225500
2002-10-08,6820,6950,6950,6820,1229,102500
2002-10-09,7000,6880,7060,6850,1217,83500
2002-10-10,6820,6680,6830,6650,1182,156500
2002-10-11,6760,6670,6840,6660,1180,68500
2002-10-14,6700,6870,6950,6700,1215,133500
2002-10-15,7000,6930,7000,6810,1226,142500
2002-10-16,7050,6860,7050,6850,1213,176500
2002-10-17,6940,6860,6940,6720,1213,145500
2002-10-18,6940,7090,7090,6900,1254,268500
2002-10-21,7120,6960,7160,6960,1231,189500
