Date,Open,Close,High,Low,Adj_close,Volume
2000-07-04,9900,9890,10199,9600,1699,1109800
2000-07-05,9900,9600,10199,9300,1649,630300
2000-07-06,9430,9449,9650,9399,1623,693700
2000-07-07,9409,9700,9979,9409,1666,1100000
2000-07-10,10100,9799,10199,9799,1683,1069100
2000-07-11,9799,9650,10000,9500,1657,1019100
2000-07-12,10000,10199,10700,9720,1752,2664000
2000-07-13,10400,9799,10400,9619,1683,1009400
2000-07-14,9799,9869,10000,9579,1695,818800
2000-07-18,10000,9399,10100,9300,1614,513400
2000-07-19,10000,9399,10100,9300,1614,513400
2000-07-20,8910,8800,8999,8500,1511,227100
2000-07-21,8900,8800,8970,8680,1511,230700
2000-07-24,8800,8209,8900,8100,1410,339900
2000-07-25,8199,8060,8290,7799,1384,391900
2000-07-26,8360,8100,8379,8050,1391,252300
2000-07-27,7900,8100,8429,7900,1391,264700
2000-07-28,8000,7890,8130,7890,1355,196200
2000-07-31,7700,7799,8000,7500,1340,201300
2000-08-01,8050,8029,8050,7600,1379,347100
2000-08-02,8249,8240,8460,8180,1415,470700
2000-08-03,8369,8249,8400,8110,1417,323900
2000-08-04,8249,7900,8319,7900,1357,263600
2000-08-07,7900,7700,7969,7700,1322,191000
2000-08-08,7519,7660,7950,7519,1316,168400
2000-08-09,7710,7799,7890,7710,1340,178700
2000-08-10,7519,7870,7900,7519,1352,197200
2000-08-11,7900,7979,8050,7799,1370,397000
2000-08-14,8199,8149,8300,8079,1400,356800
2000-08-16,8149,8100,8300,8060,1391,162700
2000-08-17,8149,8019,8149,8010,1377,178100
2000-08-18,8089,7959,8100,7919,1367,178700
2000-08-21,7799,7820,7979,7799,1343,153400
2000-08-22,7890,7890,8000,7749,1355,159600
2000-08-23,7969,7780,8029,7760,1336,210600
2000-08-24,7679,7600,7780,7500,1305,182300
2000-08-25,7610,7610,7749,7600,1307,138000
2000-08-28,7610,7629,7660,7500,1310,342400
2000-08-29,7689,7600,7689,7500,1305,272900
2000-08-30,7600,7600,7640,7320,1305,292500
2000-08-31,7509,7360,7600,7360,1264,254400
2000-09-01,7360,7600,7849,7360,1305,369200
2000-09-04,7600,8010,8189,7500,1376,708100
2000-09-05,8300,7720,8300,7720,1326,542800
2000-09-06,7720,7849,7990,7720,1348,345000
2000-09-07,7849,7959,8500,7629,1367,1306000
2000-09-08,8000,7799,8170,7629,1340,415600
2000-09-14,7640,7600,8000,7550,1305,450600
2000-09-15,7500,7730,8319,7500,1328,814200
2000-09-18,7550,6779,7700,6589,1164,490200
2000-09-19,6989,7789,7789,6649,1338,1151500
2000-09-20,7979,7959,8360,7849,1367,1839500
2000-09-21,8000,7770,8100,7409,1334,753900
2000-09-22,8000,7399,8270,7399,1271,1331200
2000-09-25,7600,7550,7700,7440,1297,466500
2000-09-26,7559,7700,8149,7559,1322,1026900
2000-09-27,7890,7900,7900,7629,1357,604000
2000-09-28,7990,7820,8180,7720,1343,445900
2000-09-29,8000,8300,8599,7820,1425,2198500
2000-10-02,8360,8680,8850,8249,1491,2369000
2000-10-04,8779,8470,9150,8419,1455,1933300
2000-10-05,8470,8620,8670,8350,1480,1024300
